utc_timestamp,DE_KN_residential3_circulation_pump,DE_KN_residential3_dishwasher,DE_KN_residential3_freezer,DE_KN_residential3_grid_export,DE_KN_residential3_grid_import,DE_KN_residential3_pv,DE_KN_residential3_refrigerator,DE_KN_residential3_washing_machine
2014-12-14T21:00:00Z,5.646,4.952,2.179,,,,,3.212
2014-12-14T22:00:00Z,5.687,4.955,2.197,,,,,3.212
2014-12-14T23:00:00Z,5.738,4.957,2.222,,,,,3.212
2014-12-15T00:00:00Z,5.807,4.96,2.263,,,,,3.212
2014-12-15T01:00:00Z,5.871,4.963,2.286,,,,,3.212
2014-12-15T02:00:00Z,5.941,4.965,2.307,,,,,3.212
2014-12-15T03:00:00Z,6.005,4.968,2.348,,,,,3.213
2014-12-15T04:00:00Z,6.075,4.97,2.376,,,,,3.213
2014-12-15T05:00:00Z,6.143,4.973,2.392,,,,,3.213
2014-12-15T06:00:00Z,6.209,4.975,2.432,,,,,3.213
2014-12-15T07:00:00Z,6.277,4.978,2.464,,,,,3.213
2014-12-15T08:00:00Z,6.343,4.981,2.475,,,,,3.213
2014-12-15T09:00:00Z,6.408,4.983,2.516,,,,,3.213
2014-12-15T10:00:00Z,6.474,4.986,2.553,,,,,3.213
2014-12-15T11:00:00Z,6.54,4.988,2.559,,,,,3.213
2014-12-15T12:00:00Z,6.606,4.991,2.6,,,,,3.213
2014-12-15T13:00:00Z,6.677,4.993,2.641,,,,,3.213
2014-12-15T14:00:00Z,6.752,6.105,2.643,,,,,3.213
2014-12-15T15:00:00Z,6.823,6.237,2.684,,,,,3.213
2014-12-15T16:00:00Z,6.888,6.24,2.725,,,,,3.213
2014-12-15T17:00:00Z,6.955,6.242,2.727,,,,,3.213
2014-12-15T18:00:00Z,7.022,6.245,2.768,,,,,3.213
2014-12-15T19:00:00Z,7.089,6.247,2.809,,,,,3.213
2014-12-15T20:00:00Z,7.156,6.25,2.815,,,,,3.213
2014-12-15T21:00:00Z,7.222,6.252,2.852,,,,,3.213
2014-12-15T22:00:00Z,7.264,6.254,2.894,,,,,3.213
2014-12-15T23:00:00Z,7.314,6.257,2.906,,,,,3.213
2014-12-16T00:00:00Z,7.384,6.26,2.937,,,,,3.213
2014-12-16T01:00:00Z,7.448,6.263,2.978,,,,,3.213
2014-12-16T02:00:00Z,7.518,6.265,2.994,,,,,3.213
2014-12-16T03:00:00Z,7.582,6.268,3.022,,,,,3.213
2014-12-16T04:00:00Z,7.652,6.27,3.063,,,,,3.214
2014-12-16T05:00:00Z,7.72,6.273,3.086,,,,,3.214
2014-12-16T06:00:00Z,7.789,6.276,3.105,,,,,3.214
2014-12-16T07:00:00Z,7.857,6.278,3.146,,,,,3.214
2014-12-16T08:00:00Z,7.926,6.281,3.174,,,,,3.214
2014-12-16T09:00:00Z,8.009,6.283,3.189,,,,,3.214
2014-12-16T10:00:00Z,8.119,6.286,3.23,,,,,3.214
2014-12-16T11:00:00Z,8.22,6.288,3.261,,,,,3.214
2014-12-16T12:00:00Z,8.296,6.291,3.273,,,,,3.214
2014-12-16T13:00:00Z,8.368,6.294,3.314,,,,,3.214
2014-12-16T14:00:00Z,8.44,6.296,3.35,,,,,3.214
2014-12-16T15:00:00Z,8.512,6.299,3.357,,,,,3.214
2014-12-16T16:00:00Z,8.578,6.301,3.397,,,,,3.214
2014-12-16T17:00:00Z,8.645,6.304,3.438,,,,,3.214
2014-12-16T18:00:00Z,8.714,7.128,3.44,,,,,3.214
2014-12-16T19:00:00Z,8.786,7.803,3.481,,,,,3.214
2014-12-16T20:00:00Z,8.858,7.806,3.522,,,,,3.214
2014-12-16T21:00:00Z,8.929,7.809,3.524,,,,,3.214
2014-12-16T22:00:00Z,8.973,7.811,3.566,,,,,3.214
2014-12-16T23:00:00Z,8.993,7.813,3.607,,,,,3.214
2014-12-17T00:00:00Z,9.064,7.816,3.614,,,,,3.214
2014-12-17T01:00:00Z,9.128,7.819,3.65,,,,,3.214
2014-12-17T02:00:00Z,9.197,7.821,3.691,,,,,3.214
2014-12-17T03:00:00Z,9.262,7.824,3.703,,,,,3.214
2014-12-17T04:00:00Z,9.332,7.827,3.734,,,,,3.214
2014-12-17T05:00:00Z,9.403,7.829,3.775,,,,,3.214
2014-12-17T06:00:00Z,9.473,7.832,3.803,,,,,3.214
2014-12-17T07:00:00Z,9.544,7.834,3.819,,,,,3.215
2014-12-17T08:00:00Z,9.615,7.836,3.86,,,,,3.215
2014-12-17T09:00:00Z,9.685,7.839,3.891,,,,,3.215
2014-12-17T10:00:00Z,9.755,7.842,3.903,,,,,3.215
2014-12-17T11:00:00Z,9.827,7.844,3.945,,,,,3.215
2014-12-17T12:00:00Z,9.897,7.847,3.976,,,,,3.215
2014-12-17T13:00:00Z,9.973,7.849,3.988,,,,,3.215
2014-12-17T14:00:00Z,10.048,7.851,4.029,,,,,3.216
2014-12-17T15:00:00Z,10.124,7.854,4.061,,,,,3.584
2014-12-17T16:00:00Z,10.192,7.857,4.072,,,,,3.678
2014-12-17T17:00:00Z,10.261,7.859,4.113,,,,,3.693
2014-12-17T18:00:00Z,10.334,8.622,4.155,,,,,3.693
2014-12-17T19:00:00Z,10.406,9.065,4.172,,,,,3.694
2014-12-17T20:00:00Z,10.477,9.067,4.199,,,,,4.077
2014-12-17T21:00:00Z,10.547,9.069,4.241,,,,,4.193
2014-12-17T22:00:00Z,10.591,9.072,4.282,,,,,4.573
2014-12-17T23:00:00Z,10.611,9.074,4.301,,,,,4.835
2014-12-18T00:00:00Z,10.681,9.076,4.325,,,,,4.856
2014-12-18T01:00:00Z,10.746,9.079,4.366,,,,,4.856
2014-12-18T02:00:00Z,10.816,9.081,4.407,,,,,4.856
2014-12-18T03:00:00Z,10.88,9.084,4.416,,,,,4.856
2014-12-18T04:00:00Z,10.949,9.087,4.45,,,,,4.856
2014-12-18T05:00:00Z,11.02,9.095,4.491,,,,,5.259
2014-12-18T06:00:00Z,11.093,10.053,4.515,,,,,5.329
2014-12-18T07:00:00Z,11.164,10.561,4.534,,,,,5.376
2014-12-18T08:00:00Z,11.235,10.563,4.574,,,,,5.794
2014-12-18T09:00:00Z,11.306,10.565,4.614,,,,,5.839
2014-12-18T10:00:00Z,11.376,10.567,4.617,,,,,5.839
2014-12-18T11:00:00Z,11.446,10.57,4.658,,,,,5.839
2014-12-18T12:00:00Z,11.515,10.572,4.698,,,,,5.839
2014-12-18T13:00:00Z,11.593,10.574,4.701,,,,,6.326
2014-12-18T14:00:00Z,11.67,10.577,4.739,,,,,6.408
2014-12-18T15:00:00Z,11.744,10.58,4.781,,,,,6.498
2014-12-18T16:00:00Z,11.813,10.582,4.823,,,,,6.499
2014-12-18T17:00:00Z,11.882,10.585,4.827,,,,,6.499
2014-12-18T18:00:00Z,11.951,10.587,4.867,,,,,7.338
2014-12-18T19:00:00Z,12.021,10.59,4.909,,,,0.0,7.794
2014-12-18T20:00:00Z,12.089,10.592,4.92,,,,0.027,7.796
2014-12-18T21:00:00Z,12.159,10.595,4.953,,,,0.049,7.796
2014-12-18T22:00:00Z,12.202,10.598,4.994,,,,0.069,7.796
2014-12-18T23:00:00Z,12.211,10.6,5.013,,,,0.109,7.796
2014-12-19T00:00:00Z,12.262,10.602,5.039,,,,0.126,7.796
2014-12-19T01:00:00Z,12.327,10.605,5.08,,,,0.14,7.796
2014-12-19T02:00:00Z,12.396,10.607,5.104,,,,0.169,7.796
2014-12-19T03:00:00Z,12.461,10.61,5.124,,,,0.183,7.796
2014-12-19T04:00:00Z,12.531,10.613,5.166,,,,0.198,7.796
2014-12-19T05:00:00Z,12.6,10.615,5.194,,,,0.226,7.796
2014-12-19T06:00:00Z,12.669,10.618,5.21,,,,0.238,7.796
2014-12-19T07:00:00Z,12.741,11.235,5.251,,,,0.26,7.812
2014-12-19T08:00:00Z,12.811,11.81,5.284,,,,0.288,7.812
2014-12-19T09:00:00Z,12.899,11.815,5.295,,,,0.291,7.812
2014-12-19T10:00:00Z,13.008,11.819,5.336,,,,0.315,7.812
2014-12-19T11:00:00Z,13.121,11.824,5.373,,,,0.343,7.812
2014-12-19T12:00:00Z,13.234,11.827,5.38,,,,0.373,7.812
2014-12-19T13:00:00Z,13.341,12.198,5.422,,,,0.396,7.812
