utc_timestamp,DE_KN_residential1_dishwasher,DE_KN_residential1_freezer,DE_KN_residential1_grid_import,DE_KN_residential1_heat_pump,DE_KN_residential1_pv,DE_KN_residential1_washing_machine
2015-05-25T08:00:00Z,0.656,,50.614,26.131,114.651,1.224
2015-05-25T09:00:00Z,0.656,,51.219,26.141,121.113,1.224
2015-05-25T10:00:00Z,0.656,,54.159,26.16,127.61,1.225
2015-05-25T11:00:00Z,0.825,,55.002,26.17,130.273,1.225
2015-05-25T12:00:00Z,1.566,,56.205,26.18,132.002,1.225
2015-05-25T13:00:00Z,1.57,,56.574,26.199,133.169,1.225
2015-05-25T14:00:00Z,1.57,,57.055,26.34,134.139,1.225
2015-05-25T15:00:00Z,1.57,,57.444,26.48,134.636,1.225
2015-05-25T16:00:00Z,1.57,,57.795,26.5,135.057,1.225
2015-05-25T17:00:00Z,1.57,,58.292,26.658,135.18,1.225
2015-05-25T18:00:00Z,1.57,,58.942,26.67,135.18,1.225
2015-05-25T19:00:00Z,1.57,,59.662,27.177,135.18,1.225
2015-05-25T20:00:00Z,1.57,,60.197,27.189,135.18,1.225
2015-05-25T21:00:00Z,1.57,,60.607,27.52,135.18,1.225
2015-05-25T22:00:00Z,1.57,,60.944,27.82,135.18,1.225
2015-05-25T23:00:00Z,1.57,,61.255,27.83,135.18,1.225
2015-05-26T00:00:00Z,1.57,,61.574,27.85,135.18,1.225
2015-05-26T01:00:00Z,1.57,,61.885,27.859,135.18,1.225
2015-05-26T02:00:00Z,1.57,,62.215,27.869,135.18,1.225
2015-05-26T03:00:00Z,1.57,,62.535,27.935,135.18,1.225
2015-05-26T04:00:00Z,1.57,,62.885,28.641,135.188,1.225
2015-05-26T05:00:00Z,1.57,,63.317,29.25,135.323,1.226
2015-05-26T06:00:00Z,1.57,,64.312,29.541,135.815,1.791
2015-05-26T07:00:00Z,1.57,,64.712,29.561,137.279,1.822
2015-05-26T08:00:00Z,1.57,,65.162,30.212,142.527,1.824
2015-05-26T09:00:00Z,1.57,,65.515,30.42,144.725,1.826
2015-05-26T10:00:00Z,1.571,,65.897,30.43,149.942,1.829
2015-05-26T11:00:00Z,1.571,,66.274,30.449,154.242,1.831
2015-05-26T12:00:00Z,1.571,,66.84,30.609,155.248,1.833
2015-05-26T13:00:00Z,1.571,,68.697,30.619,156.116,1.835
2015-05-26T14:00:00Z,1.571,,69.099,30.75,156.534,1.836
2015-05-26T15:00:00Z,1.571,,69.512,30.76,158.011,1.838
2015-05-26T16:00:00Z,1.571,,70.665,30.939,159.028,1.839
2015-05-26T17:00:00Z,1.571,,71.285,31.119,159.548,1.841
2015-05-26T18:00:00Z,1.571,,71.742,31.76,159.578,1.843
2015-05-26T19:00:00Z,2.509,,73.399,31.988,159.578,1.844
2015-05-26T20:00:00Z,2.511,,73.92,32.496,159.578,1.844
2015-05-26T21:00:00Z,2.511,,74.362,33.336,159.578,1.844
2015-05-26T22:00:00Z,2.511,,74.675,33.605,159.578,1.844
2015-05-26T23:00:00Z,2.511,,74.994,33.625,159.578,1.844
2015-05-27T00:00:00Z,2.511,,75.295,33.635,159.578,1.844
2015-05-27T01:00:00Z,2.511,,75.604,33.646,159.578,1.844
2015-05-27T02:00:00Z,2.511,,75.914,33.666,159.578,1.844
2015-05-27T03:00:00Z,2.511,,76.255,34.013,159.578,1.845
2015-05-27T04:00:00Z,2.511,,76.659,35.658,159.587,1.845
2015-05-27T05:00:00Z,2.511,,77.234,37.736,159.722,1.845
2015-05-27T06:00:00Z,2.511,,77.582,38.076,160.214,1.845
2015-05-27T07:00:00Z,2.511,,79.817,38.086,161.678,1.846
2015-05-27T08:00:00Z,2.511,,81.715,38.676,166.926,1.847
2015-05-27T09:00:00Z,2.511,,83.499,38.955,169.123,1.849
2015-05-27T10:00:00Z,2.511,,84.352,38.965,174.271,1.922
2015-05-27T11:00:00Z,2.511,,84.802,38.986,178.927,2.249
2015-05-27T12:00:00Z,2.511,,85.227,38.996,185.548,2.332
2015-05-27T13:00:00Z,2.511,,85.642,39.295,190.476,2.335
2015-05-27T14:00:00Z,2.511,,86.017,39.305,193.962,2.337
2015-05-27T15:00:00Z,2.512,,86.402,39.316,197.192,2.338
2015-05-27T16:00:00Z,2.512,,87.012,39.775,198.452,2.338
2015-05-27T17:00:00Z,2.512,,87.607,40.166,198.772,2.338
2015-05-27T18:00:00Z,2.512,,88.107,40.916,198.856,2.338
2015-05-27T19:00:00Z,2.512,,88.712,41.486,198.856,2.338
2015-05-27T20:00:00Z,2.512,,89.207,42.315,198.856,2.338
2015-05-27T21:00:00Z,2.512,,89.572,42.865,198.856,2.338
2015-05-27T22:00:00Z,2.512,,89.952,43.486,198.856,2.338
2015-05-27T23:00:00Z,2.512,,90.267,43.496,198.856,2.338
2015-05-28T00:00:00Z,2.512,,90.612,43.516,198.856,2.338
2015-05-28T01:00:00Z,2.512,,90.942,43.525,198.856,2.338
2015-05-28T02:00:00Z,2.512,,91.272,43.545,198.856,2.338
2015-05-28T03:00:00Z,2.512,,91.652,44.006,198.882,2.338
2015-05-28T04:00:00Z,2.512,,92.072,45.656,199.181,2.338
2015-05-28T05:00:00Z,2.512,,92.522,46.615,200.497,2.338
2015-05-28T06:00:00Z,2.512,,92.937,46.635,203.657,2.338
2015-05-28T07:00:00Z,2.512,,93.802,46.65,209.093,2.338
2015-05-28T08:00:00Z,2.512,,94.752,46.865,215.821,2.338
2015-05-28T09:00:00Z,2.513,,95.777,46.885,223.177,2.339
2015-05-28T10:00:00Z,3.162,,96.477,46.895,230.646,2.339
2015-05-28T11:00:00Z,3.166,,96.962,46.906,238.308,2.339
2015-05-28T12:00:00Z,3.166,,97.387,46.916,245.538,2.339
2015-05-28T13:00:00Z,3.166,,97.792,46.936,251.872,2.339
2015-05-28T14:00:00Z,3.166,,98.207,46.945,256.833,2.339
2015-05-28T15:00:00Z,3.166,,98.592,46.955,260.017,2.339
2015-05-28T16:00:00Z,3.166,,98.962,46.965,261.351,2.339
2015-05-28T17:00:00Z,3.166,,99.382,46.986,261.757,2.339
2015-05-28T18:00:00Z,3.166,,99.787,47.346,261.868,2.339
2015-05-28T19:00:00Z,3.166,,100.252,47.695,261.868,2.339
2015-05-28T20:00:00Z,3.166,,101.142,48.055,261.868,2.339
2015-05-28T21:00:00Z,3.166,,101.617,48.436,261.868,2.339
2015-05-28T22:00:00Z,3.166,,101.957,48.756,261.868,2.339
2015-05-28T23:00:00Z,3.167,,102.287,48.775,261.868,2.339
2015-05-29T00:00:00Z,3.167,,102.617,48.785,261.868,2.339
2015-05-29T01:00:00Z,3.167,,102.942,48.795,261.868,2.339
2015-05-29T02:00:00Z,3.167,,103.272,48.816,261.868,2.339
2015-05-29T03:00:00Z,3.167,,103.617,48.945,261.868,2.34
2015-05-29T04:00:00Z,3.167,,103.997,49.916,262.208,2.34
2015-05-29T05:00:00Z,3.167,,104.412,49.936,263.372,2.34
2015-05-29T06:00:00Z,3.167,,104.857,49.945,265.841,2.34
2015-05-29T07:00:00Z,3.167,,106.772,49.955,268.026,2.34
2015-05-29T08:00:00Z,3.167,,107.762,49.975,272.612,2.34
2015-05-29T09:00:00Z,3.167,,108.822,49.986,279.536,2.34
2015-05-29T10:00:00Z,3.167,,109.512,49.996,286.366,2.413
