utc_timestamp,DE_KN_residential1_dishwasher,DE_KN_residential1_freezer,DE_KN_residential1_grid_import,DE_KN_residential1_heat_pump,DE_KN_residential1_pv,DE_KN_residential1_washing_machine
2015-05-25T19:00:00Z,0,,0.72,0.507,0,0
2015-05-25T20:00:00Z,0,,0.535,0.012,0,0
2015-05-25T21:00:00Z,0,,0.41,0.331,0,0
2015-05-25T22:00:00Z,0,,0.337,0.3,0,0
2015-05-25T23:00:00Z,0,,0.311,0.01,0,0
2015-05-26T00:00:00Z,0,,0.319,0.02,0,0
2015-05-26T01:00:00Z,0,,0.311,0.009,0,0
2015-05-26T02:00:00Z,0,,0.33,0.01,0,0
2015-05-26T03:00:00Z,0,,0.32,0.066,0,0
2015-05-26T04:00:00Z,0,,0.35,0.706,0.008,0
2015-05-26T05:00:00Z,0,,0.432,0.609,0.135,0.001
2015-05-26T06:00:00Z,0,,0.995,0.291,0.492,0.565
2015-05-26T07:00:00Z,0,,0.4,0.02,1.464,0.031
2015-05-26T08:00:00Z,0,,0.45,0.651,5.248,0.002
2015-05-26T09:00:00Z,0,,0.353,0.208,2.198,0.002
2015-05-26T10:00:00Z,0.001,,0.382,0.01,5.217,0.003
2015-05-26T11:00:00Z,0,,0.377,0.019,4.3,0.002
2015-05-26T12:00:00Z,0,,0.566,0.16,1.006,0.002
2015-05-26T13:00:00Z,0,,1.857,0.01,0.868,0.002
2015-05-26T14:00:00Z,0,,0.402,0.131,0.418,0.001
2015-05-26T15:00:00Z,0,,0.413,0.01,1.477,0.002
2015-05-26T16:00:00Z,0,,1.153,0.179,1.017,0.001
2015-05-26T17:00:00Z,0,,0.62,0.18,0.52,0.002
2015-05-26T18:00:00Z,0,,0.457,0.641,0.03,0.002
2015-05-26T19:00:00Z,0.938,,1.657,0.228,0,0.001
2015-05-26T20:00:00Z,0.002,,0.521,0.508,0,0
2015-05-26T21:00:00Z,0,,0.442,0.84,0,0
2015-05-26T22:00:00Z,0,,0.313,0.269,0,0
2015-05-26T23:00:00Z,0,,0.319,0.02,0,0
